Publication Day,Publication Month,Publication Year,Authors,Title,Source,Abstract
10,8,2017,"Célia Dos Santos, Sabah Hamadat, Karen Le Saux, Clara Newton, Meriem Mazouni, Loussiné Zargarian, Mickael Miro-Padovani, Patricia Zadigue, Jean Delbé, Yamina Hamma-Kourbali, Mohamed Amiche","Studies of the antitumor mechanism of action of dermaseptin B2, a multifunctional cationic antimicrobial peptide, reveal a partial implication of cell surface glycosaminoglycans.",PloS one,"Dermaseptin-B2 (DRS-B2) is a multifunctional cationic antimicrobial peptide (CAP) isolated from frog skin secretion. We previously reported that DRS-B2 possesses anticancer and antiangiogenic activities in vitro and in vivo. In the present study, we evaluated the antiproliferative activity of DRS-B2 on numerous tumor cell lines, its cell internalization and studies of its molecular partners as well as their influences on its structure. Confocal microscopy using ([Alexa594]-(Cys0)-DRS-B2) shows that in sensitive human tumor cells (PC3), DRS-B2 seems to accumulate rapidly at the cytoplasmic membranes and enters the cytoplasm and the nucleus, while in less sensitive tumor cells (U87MG), DRS-B2 is found packed in vesicles at the cell membrane. Furthermore FACS analysis shows that PC3 cells viability decreases after DRS-B2 treatment while U87 MG seems to be unaffected. However, ""pull down"" experiments performed with total protein pools from PC3 or U87MG cells and the comparison between the antiproliferative effect of DRS-B2 and its synthetic analog containing all D-amino acids suggest the absence of a stereo-selective protein receptor. Pretreatment of PC3 cells with sodium chlorate, decreases the antiproliferative activity of DRS-B2. This activity is partially restored after addition of exogenous chondroitin sulfate C (CS-C). Moreover, we demonstrate that at nanomolar concentrations CS-C potentiates the antiproliferative effect of DRS-B2. These results highlight the partial implication of glycosaminoglycans in the mechanism of antiproliferative action of DRS-B2. Structural analysis of DRS-B2 by circular dichroism in the presence of increasing concentration of CS-C shows that DRS-B2 adopts an α-helical structure. Finally, structure-activity-relationship studies suggest a key role of the W residue in position 3 of the DRS-B2 sequence for its antiproliferative activity."
11,8,2017,"Martin Eckardt, Thomas J Simat",Bisphenol A and alternatives in thermal paper receipts - a German market analysis from 2015 to 2017.,Chemosphere,"Bisphenol A (BPA) was commonly used as color developer for thermal paper such as cash register receipts, labels or tickets. Therefore, thermal paper was considered by the European Food Safety Authority (EFSA) as the main source of human exposure to BPA beside epoxy based food contact materials. In this study, a German market analysis on the use of BPA and alternative color developers in thermal paper receipts is provided for the years 2015, 2016 and 2017.114 (2015), 98 (2016) and 99 (2017) samples were randomly collected and analyzed by HPLC-DAD. In summary, BPA was still the most frequently found color developer (48.2% in 2015, 46.9% in 2016 and 52.5% in 2017). The most commonly used alternative was the phenol-free substance Pergafast(®) 201 (34.2%, 33.7%, 40.4%). The bisphenol analogs bisphenol S (BPS; 11.4%, 9.2%, 6.1%) and D8 (6.1%, 7.1%, 1.0%) were less common. Another phenol-free substituent, a urea urethane compound (UU), was also detected (3.1% in 2016). Concentrations of color developers in thermal paper ranged from 1.4 to 32.4 mg/g (median values between 2.5 and 15.9 mg/g). Concentrations of BPA were found to be highest followed by BPS, UU, Pergafast(®) 201 and D8. In addition, two pharmacologically active substances, dapsone (6.0 mg/g) and tolbutamide (5.5 mg/g), were detected in a non-marketed thermal paper, that was supposed to use ascorbic acid as initial color developer. Different release experiments of the detected color developers were performed. Sensitizers 1,2-diphenoxy-ethane, 1-phenylmethoxy-naphthalene and diphenylsulfone, used frequently in the thermal paper processes, were quantified."
11,8,2017,"Ngoc D B Le, Xian Wang, Yingying Geng, Rui Tang, Gulen Yesilbag Tonga, Ziwen Jiang, Vincent M Rotello",Rapid and ultrasensitive detection of endocrine disrupting chemicals using a nanosensor-enabled cell-based platform.,"Chemical communications (Cambridge, England)","Endocrine disrupting chemicals (EDCs) interact with estrogen receptors (ERs), causing a broad range of adverse health effects. Current assays for EDC activity are slow and often lack sensitivity. We report here an ultra-sensitive nanosensor that can detect estrogenic cellular changes in ER(+) MCF-7 cells rapidly (minutes) at several orders of magnitude lower than the generally used assays. Notably, the sensor responses at these ultra-low EDC levels correlated with an increased synthesis phase (S-phase) cell population of EDC-treated cells. The nanosensor was also able to detect binary EDC mixture effects, with synergism observed for bisphenol A (BPA) - 17β-estradiol (E2), and antagonism for dicyclohexylphthalate (DCHP) - E2 and benzo(a)pyrene (BaP) - E2."
12,8,2017,"Marta Hoffmann, Justyna Gogola, Małgorzata Kotula-Balak, Anna Ptak",Stimulation of ovarian cell proliferation by tetrabromobisphenol A but not tetrachlorobisphenol A through G protein-coupled receptor 30.,Toxicology in vitro : an international journal published in association with BIBRA,"Tetrabromobisphenol A (TBBPA) and tetrachlorobisphenol A (TCBPA) are bisphenol A (BPA) analogs, where the phenolic moieties are substituted with halogens (Br or Cl). Previous studies indicate that BPA has significant proliferative effects on in vitro cultured epithelial ovarian cancer (EOC) cells. Considering this, we analyzed the effects of both TBBPA and TCBPA at 1, 10, and 50nM on ovarian cancer cell proliferation. The majority of malignant ovarian tumors are epithelial in origin, but approximately 10% are classified as ovarian sex cord tumors, with the most common type being granulosa cell tumors (GCTs). OVCAR-3 and KGN cells were used as in vitro models to represent EOCs and GCTs, respectively. Here, we found that TBBPA, but not TCBPA, stimulated OVCAR-3 and KGN cell proliferation, with lower potency than BPA. The stimulatory effects of TBBPA and BPA on cell proliferation were reversed by pre-treatment with a G protein-coupled receptor 30 (GPR30) antagonist in both cell lines, which possess similar basal GPR30 expression levels. Taken together, our results show for the first time that TBBPA, which has lower potency than BPA, stimulates ovarian cancer cell proliferation through the GPR30 pathway."
15,8,2017,"Yuto Shinkura, Kazuhiko Nakayama, Kenichi Yanaka, Hiroto Kinutani, Naoki Tamada, Yasunori Tsuboi, Seimi Satomi-Kobayashi, Hiromasa Otake, Toshiro Shinke, Noriaki Emoto, Ken-Ichi Hirata",Extensive revascularization by balloon pulmonary angioplasty for chronic thromboembolic pulmonary hypertension beyond hemodynamic normalization.,EuroIntervention : journal of EuroPCR in collaboration with the Working Group on Interventional Cardiology of the European Society of Cardiology,"Balloon pulmonary angioplasty (BPA) improves hemodynamics and exercise capacity in patients with chronic thromboembolic pulmonary hypertension (CTEPH). However, even after BPA many patients still suffered from exertional dyspnea. Our purpose is to clarify the clinical validity of extensive revascularization by BPA (ERBPA) beyond hemodynamic normalization."
15,8,2017,"Vivian S Lin, Matthew Grandbois, Kristopher McNeill",Fluorescent Molecular Probes for Detection of One-Electron Oxidants Photochemically Generated by Dissolved Organic Matter.,Environmental science & technology,"We report a dual probe system based on 4'-substituted biphenyl-2-carboxylic acids (BPAs) for analysis of photooxidants generated by dissolved organic matter. The BPA probes are converted to the corresponding benzocoumarins (BZCs) at different rates depending on the mechanism of oxidation; thus, two probes used simultaneously can differentiate strong triplet excited state sensitizers from hydroxylating species such as hydroxyl radical ((*)OH) present in dissolved organic matter (DOM). Comparison of the ratios of BZC-CH3 and BZC-CF3 product formation using model photooxidants such as NaNO2, a (*)OH precursor, and model triplet sensitizer lumichrome gave a range of 2 to 250. Application of these probes to DOM isolates and whole natural waters afforded intermediate ratios. Although the oxidation potential of BPAs (>ca. 1.80 V SHE) is significantly higher than the estimated average reduction potential of typical (3)CDOM* samples, these results have demonstrated the presence of a small pool of oxidants in the selected DOM isolates and whole water samples that is capable of oxidizing aromatic carboxylates. As an analytical tool, this probe pair can be used between pH 4-6 without affecting the product formation ratio and may find applications in various systems involving complex mixtures of photochemically produced oxidants of differing natures."
15,8,2017,"Natália S Jardim, Glaúbia Sartori, Marcel H M Sari, Sabrina G Müller, Cristina W Nogueira",Bisphenol A impairs the memory function and glutamatergic homeostasis in a sex-dependent manner in mice: Beneficial effects of diphenyl diselenide.,Toxicology and applied pharmacology,"Bisphenol A (BPA) is a compound integrated in commodities, which consequently increases the human exposure to this toxicant. The deleterious effects of BPA exposure during periods of brain development have been documented mainly concerning the impairment in memory functions. Diphenyl diselenide (PhSe)2, an organoselenium compound, shows protective/restorative effects against memory deficits in experimental models. Thus, this study investigated the effects of (PhSe)2 on the memory impairments induced by BPA exposure to male and female mice and the possible involvement of glutamatergic system in these effects. Three-week-old male and female Swiss mice received BPA (5mg/kg), intragastrically, from 21st to 60th postnatal day. After, the animals were intragastrically treated with (PhSe)2 (1mg/kg) during seven days. The mice performed the behavioral memory tests and the [(3)H] glutamate uptake and NMDA receptor subunits (2A and 2B) analyses were carried out in the hippocampus and cerebral cortex of mice. The results demonstrated that the BPA exposure induced impairment of object recognition memory in both sexes. However, it caused impairments in spatial memory in female and in the passive avoidance memory in male mice. Besides, BPA caused a decrease in the [(3)H] glutamate uptake and NMDA receptor subunit levels in the cortical and hippocampal regions depending on the sex. Treatment with (PhSe)2 reversed in a sex-independent manner the behavioral impairments and molecular alterations. In conclusion, BPA had a negative effect in different memory types as well as in the glutamatergic parameters in a sex-dependent manner and (PhSe)2 treatment was effective against these alterations."
15,8,2017,"Muhammad Nur' Hafiz Rozaini, Noorfatimah Yahaya, Bahruddin Saad, Sazlinda Kamaruzaman, Nor Suhaila Mohamad Hanapi",Rapid ultrasound assisted emulsification micro-solid phase extraction based on molecularly imprinted polymer for HPLC-DAD determination of bisphenol A in aqueous matrices.,Talanta,"Molecularly imprinted polymer (MIP) was employed as sorbent in ultrasound assisted emulsification molecularly imprinted polymer micro-solid phase extraction (USAE-MIP-µ-SPE) of bisphenol A (BPA) in water, beverages and the aqueous liquid in canned foods prior to high performance liquid chromatography-diode array detector (HPLC-DAD) analysis. Several effective variables, such as types of emulsification solvent and its volume, types of desorption solvent and its volume, salting out effect, pH of sample solution, mass of sorbent, extraction and desorption time, and sample volume, were optimized comprehensively. Under the optimized USAE-MIP-µ-SPE and HPLC-DAD conditions, the method demonstrated good linearity over the range of 0.5-700μgL(-1) with a coefficient determination of R(2)=0.9973, low limit of detection (0.07μgL(-1)), good analyte recoveries (82.2-118.9%) and acceptable RSDs (0.7-14.2%, n=3) with enrichment factor of 49. The method was applied to thirty samples of drinking water, mineral water, river water, lake water, as well as beverages and canned foods, the presence of BPA was identified in four samples. The proposed method showed good selectivity and reusability for extraction of BPA, and hence the USAE-MIP-µ-SPE is rapid, simple, cost effective and environmentally friendly."
16,8,2017,"Marita Chakhtoura, Uma Sriram, Michelle Heayn, Joshua Wonsidler, Christopher Doyle, Joudy-Ann Dinnall, Stefania Gallucci, Rebecca A Roberts",Bisphenol A Does Not Mimic Estrogen in the Promotion of the In Vitro Response of Murine Dendritic Cells to Toll-Like Receptor Ligands.,Mediators of inflammation,"Sex hormones affect immune responses and might promote autoimmunity. Endocrine disrupting chemicals such as bisphenol A (BPA) may mimic their immune effects. Conventional dendritic cells (cDCs) are pivotal initiators of immune responses upon activation by danger signals coming from pathogens or distressed tissues through triggering of the Toll-like receptors (TLRs). We generated in vitro murine cDCs in the absence of estrogens and measured the effects of exogenously added estrogen or BPA on their differentiation and activation by the TLR ligands LPS and CpG. Estrogen enhanced the differentiation of GM-CSF-dependent cDCs from bone marrow precursors in vitro, and the selective estrogen receptor modulators (SERMs) tamoxifen and fulvestrant blocked these effects. Moreover, estrogen augmented the upregulation of costimulatory molecules and proinflammatory cytokines (IL-12p70 and TNFα) upon stimulation by TLR9 ligand CpG, while the response to LPS was less estrogen-dependent. These effects are partially explained by an estrogen-dependent regulation of TLR9 expression. BPA did not promote cDC differentiation nor activation upon TLR stimulation. Our results suggest that estrogen promotes immune responses by increasing DC activation, with a preferential effect on TLR9 over TLR4 stimulation, and highlight the influence of estrogens in DC cultures, while BPA does not mimic estrogen in the DC functions that we tested."
17,8,2017,"Patrick Poulin, Michel Bteich, Sami Haddad",Supplemental Analysis of the Prediction of Hepatic Clearance of Binary Mixtures of Bisphenol A and Naproxen Determined in an Isolated Perfused Rat Liver Model to Promote the Understanding of Potential Albumin-Facilitated Hepatic Uptake Mechanism.,Journal of pharmaceutical sciences,"The hepatic clearance (CL) of bisphenol A (BPA) in the isolated perfused rat liver (IPRL) model has been studied for the impact of albumin (ALB) binding and coadministration with naproxen (NAP) in a companion manuscript (Bounakta et al. Xenobiotica. 2017;3:1-13.). We reported that the extrapolations of hepatic CL of BPA, NAP, and the binary mixtures between 2 ALB concentrations did not follow the free drug hypothesis; however, potential ALB-facilitated hepatic uptake mechanism(s) were highly suspected. Therefore, the objective of the present study was to reanalyze the IPRL data to provide a deeper quantitative extrapolation of CL; however, the focus was made on the impact of ALB binding on the intrinsic clearance (CLint) versus unbound CLint instead of only the global hepatic CL to verify whether the concept of ALB-facilitated hepatic uptake still holds for these 2 additional parameters for binary mixtures. Firstly, the variations in CLint that were observed between the IPRL model using no ALB and ALB in the perfusates were compared to the corresponding variations in the unbound fraction measured in the perfusates (fup) according to the free drug hypothesis, or to the variations in the fup values adjusted for potential ALB-facilitated uptake mechanism (i.e., fup-adjusted). The parameter fup-adjusted showed a greater predictability compared to fup (average fold error ∼ 1 vs. 5.2), suggesting that both the free and bound drug moieties should be available for hepatic uptake. Secondly, the supplemental data analysis showed a greater decrease in unbound Km than in Vmax resulting in increased uptake CLint of the unbound drug (Vmax/unbound Km) with increased ALB concentration at a given substrate concentration, which is compatible with an ALB-facilitated hepatic uptake mechanism. Interestingly, the unbound CLint increased by a factor that corresponds to the bound drug moiety also assumed available for hepatic uptake. These additional findings corroborate the recent literature. Overall, this study showed the importance of quantifying any differential of ALB concentration (in vitro vs. in vivo or hypoalbuminemia in vivo vs. hyperalbuminemia in vivo) in the IPRL-based, in vitro-to-in vivo or in vivo-to-in vivo extrapolation-based or physiologically based pharmacokinetics-based CL prediction of chemical-drug interactions between xenobiotics significantly bound to ALB."
17,8,2017,"Jing Guo, Ming-Hui Zhao, Kyung-Tae Shin, Ying-Jie Niu, Yong-Dae Ahn, Nam-Hyung Kim, Xiang-Shun Cui",The possible molecular mechanisms of bisphenol A action on porcine early embryonic development.,Scientific reports,"Bisphenol A (BPA) is an environmental contaminant widely used in the plastic industry. BPA has been demonstrated to be an endocrine disruptor and has an adverse effect on the embryonic development of mammals. However, the mechanism of action of BPA is limited. In this study, we investigated the role and mechanism of BPA in porcine embryonic development. First, the parthenotes were treated with different concentrations of BPA. We found that blastocyst formation was impaired and the parthenotes were arrested at the 4-cell stage after treatment with 100 μm BPA. Second, ROS increased following the addition of BPA, which further caused mitochondrial damage, and cytochrome c was released from the mitochondria to induce apoptosis. The adaptive response was demonstrated through LC3 immunofluorescence staining and by assessing autophagy-related gene expression. In addition, BPA caused DNA damage through the p53-p21 signaling pathway. Thus, our results indicate that BPA displays an adverse effect on porcine early embryonic development through mitochondrial and DNA damage."
18,8,2017,"Anneline Pinson, Delphine Franssen, Arlette Gérard, Anne-Simone Parent, Jean-Pierre Bourguignon",Neuroendocrine disruption without direct endocrine mode of action: Polychloro-biphenyls (PCBs) and bisphenol A (BPA) as case studies.,Comptes rendus biologies,"Endocrine disruption is commonly thought to be restricted to a direct endocrine mode of action i.e. the perturbation of the activation of a given type of hormonal receptor by its natural ligand. Consistent with the WHO definition of an endocrine disrupter, a key issue is the ""altered function(s) of the endocrine system"". Such altered functions can result from different chemical interactions, beyond agonistic or antagonistic effect at a given receptor. Based on neuroendocrine disruption by polychlorinated biphenyls and bisphenol A, this paper proposes different mechanistic paradigms that can result in adverse health effects. They are a consequence of altered endocrine function(s) secondary to chemical interaction with different steps in the physiological regulatory processes, thus accounting for a possibly indirect endocrine mode of action."
18,8,2017,"Natalia Szczepańska, Błażej Kudłak, Jacek Namieśnik","Assessing ecotoxicity and the endocrine potential of selected phthalates, BADGE and BFDGE derivatives in relation to environmentally detectable levels.",The Science of the total environment,"There is no doubt that the subject area of plastic materials (e.g., production of epoxy resins or polyesters) is inherently connected to issues concerning bisphenol A (BPA) and its analogues. Unfortunately, much less attention has been given to other compounds, which are also used for the production of these materials. Bisphenol A diglycidyl ether (BADGE) is a synthetic industrial compound obtained by a condensation reaction between epichlorohydrin (ECH) and BPA. Similarly, novolac glycidyl ether (BFDGE) is produced in the reaction between novolac and epichlorohydrin. Nevertheless, there is a lack of information on the combined effects of BADGE derivatives at environmentally relevant levels. In the current study, toxicity levels in Microtox® and XenoScreen YES/YAS assays were determined for several analogues alone, then the biological effects of compound pairs mixed in 33, 66 and 100% of each compounds' EC50 ratios were evaluated. The Microtox® test has been chosen as a relevant tool, and the results were referred to the Xenoscreen YES/YAS assay, which has been chosen for the fast determination of the endocrine potential of the compounds tested. The results obtained constitutes the basis for model studies, with Concentration Addition (CA) and Independent Action (IA), followed by Model Deviation Ratio (MDR) interpretation, to evaluate the possible interactions occurring between analytes when present in mixtures. The results indicate that the hydrochloric derivatives of BADGE and BFDGE are of the greatest toxicological and endocrine threat. Thus, their presence in mixtures under certain environmental conditions (including presence in the tissues of living organisms) should be strictly monitored and reported, especially in acidic environments. Strong evidence on the synergic behaviors of these analytes, which expressed high toxicity (EC50 2.69-117.49μg/mL), is demonstrated with Model Deviation Ratio (MDR)."
21,8,2017,"Tyler Pollock, Leanna Mantella, Vanessa Reali, Denys deCatanzaro","Influence of Tetrabromobisphenol A, with or without Concurrent Triclosan, upon Bisphenol A and Estradiol Concentrations in Mice.",Environmental health perspectives,"Humans are commonly exposed to multiple environmental chemicals, including tetrabromobisphenol A (TBBPA; a flame retardant), triclosan (an antimicrobial agent), and bisphenol A (BPA; polycarbonate plastics). These chemicals are readily absorbed and may interact with each other."
21,8,2017,"Emil Mammadov, Murat Uncu, Ceyhun Dalkan",High prenatal exposure to bisphenol A reduces anogenital distance in healthy male newborns.,Journal of clinical research in pediatric endocrinology,To estimate the relationship between cord blood BPA levels and anogenital measurements in healthy newborns.
22,8,2017,"Jin-Zhong Gu, Xiao-Xiao Liang, Yan Cai, Jiang Wu, Zi-Fa Shi, Alexander M Kirillov","Hydrothermal assembly, structures, topologies, luminescence, and magnetism of a novel series of coordination polymers driven by a trifunctional nicotinic acid building block.","Dalton transactions (Cambridge, England : 2003)","In this work, a trifunctional N,O-building block, 5-(4-carboxyphenoxy)nicotinic acid (H2cpna), that combines three distinct types of functional groups (COOH, N-pyridyl, and O-ether) was used for the hydrothermal assembly of thirteen new coordination compounds: [Co(μ3-Hcpna)2]n (1), [Mn(μ4-cpna)(H2O)]n (2), [Mn(μ4-cpna)(H2O)2]n (3), [Mn(μ-cpna)(2,2'-bipy)(H2O)2]n (4), {[Ni(μ3-cpna)(2,2'-bipy)(H2O)]2*H2O}n (5), {[Cd(μ3-cpna)(2,2'-bipy)]*2H2O}n (6), [Zn2(μ-cpna)2(2,2'-bipy)2] (7), [Cu(μ-cpna)(2,2'-bipy)(H2O)]n (8), {[Mn(μ-cpna)(phen)2]*6H2O}n (9), {[Ni(μ3-cpna)(phen)(H2O)]*H2O}n (10), [Zn2(μ-cpna)2(phen)2] (11), {[Pb(μ3-cpna)(phen)]*H2O}n (12), and [Ni(μ3-cpna)(4,4'-bipy)0.5(H2O)]n (13). These products were synthesized from the corresponding metal(ii) chlorides, H2cpna, NaOH, and optional N-donor supporting ligands or templates {bis(4-pyridyl)amine (bpa), 2,2'-bipyridine (2,2'-bipy), 4,4'-bipyridine (4,4'-bipy), or 1,10-phenanthroline (phen)}. Products 1-13 were characterized in the solid state by standard methods, including elemental and thermogravimetric analysis (TGA), IR spectroscopy, and powder (PXRD) and single-crystal X-ray diffraction. The structures of 1-13 feature distinct structural types, namely the 3D metal-organic frameworks (MOFs 1-3), the 2D coordination polymers (5, 6, 10, 12, and 13), the 1D coordination polymers (4, 8, and 9), and the 0D discrete cyclic dimers (7 and 11). Such a wide structural diversity of 1-13 is driven by various factors, including the type of the metal(ii) node, the deprotonation degree of H2cpna, and/or the type of supporting ligand or template. Notably, an addition of bpa can tune the structure of MOF 3 by the template effect. Topological classification of underlying metal-organic networks was performed, leading to several distinct topological nets: rtl (in 1), hxg-d-4-C2/m (in 2), sra (in 3), 2C1 (in 4, 8 and 9), fes (in 5, 10, and 12), hcb (in 6), and 3,4L83 (in 13). The magnetic behavior of 1-5, 8-10, and 13 was studied and theoretically modeled, disclosing antiferromagnetic interactions. The luminescence behavior of 6, 7, 11, and 12 was also investigated."
23,8,2017,"Cong Xu, Jingjie Zhang, Xiaowei Bi, Zheng Xu, Yiliang He, Karina Yew-Hoong Gin",Developing an integrated 3D-hydrodynamic and emerging contaminant model for assessing water quality in a Yangtze Estuary Reservoir.,Chemosphere,"An integrated 3D-hydrodynamic and emerging contaminant model was developed for better understanding of the fate and transport of emerging contaminants in Qingcaosha Reservoir. The reservoir, which supplies drinking water for nearly half of Shanghai's population, is located in Yangtze Delta. The integrated model was built by Delft3D suite, a fully integrated multidimensional modeling software. Atrazine and Bisphenol A (BPA) were selected as two representative emerging contaminants for the study in this reservoir. The hydrodynamic model was calibrated and validated against observations from 2011 to 2015 while the integrated model was calibrated against observations from 2014 to 2015 and then applied to explore the potential risk of high atrazine concentrations in the reservoir driven by agriculture activities. Our results show that the model is capable of describing the spatial and temporal patterns of water temperature, salinity and the dynamic distributions of two representative emerging contaminants (i.e. atrazine and BPA) in the reservoir. The physical and biodegradation processes in this study were found to play a crucial role in determining the fate and transport of atrazine and BPA in the reservoir. The model also provides an insight into the potential risk of emerging contaminants and possible mitigation thresholds. The integrated approach can be a very useful tool to support policy-makers in the future management of Qingcaosha Reservoir."
23,8,2017,"M Jasmin Fathi Jasni, Mani Arulkumar, Palanivel Sathishkumar, Abdull Rahim Mohd Yusoff, Nor Aziah Buang, Feng Long Gu","Electrospun nylon 6,6 membrane as a reusable nano-adsorbent for bisphenol A removal: Adsorption performance and mechanism.",Journal of colloid and interface science,"Bisphenol A (BPA) is highly considered as an emerging contaminants (ECs) due to their endocrine disrupting and reproductive toxicant nature. It has been detected in drinking water sources in many countries. This study deals with the adsorptive removal of BPA using nylon 6,6 nanofibrous membrane (NNM) fabricated by electrospinning technique. Langmuir and Freundlich isotherm models (R(2)=0.99) were obeyed for BPA adsorption, which indicates the monolayer adsorption of BPA and also surface heterogeneity of NNM. The adsorption kinetics of BPA was followed pseudo second order rate (R(2)=0.89-0.99), which suggests the occurrence of rapid adsorption rate through interaction of surface functional groups present in NNM. The maximum adsorption of BPA (91.3mgg(-1)) was attained at 30°C. The hydroxyl groups of BPA form hydrogen bonding with carbonyl groups of NNM during the adsorptive removal process. Reusability study confirmed a much better stability of NNM in the recyclic application. Finally, this study suggests that NNM might be an outstanding nano-adsorbent for the emerging contaminants removal, including BPA from drinking water sources."
23,8,2017,"Ellen Mihaich, Charles Staples, Lisa Ortego, Gary Klečka, Jan Woelz, Steve Dimond, Steven Hentges",LIFE CYCLE STUDIES WITH TWO MARINE SPECIES AND BISPHENOL A: THE MYSID SHRIMP (AMERICAMYSIS BAHIA) AND SHEEPSHEAD MINNOW (CYPRINODON VARIEGATUS).,Environmental toxicology and chemistry,"Bisphenol A (BPA) is a high production volume compound primarily used to produce epoxy resins and polycarbonate plastic. Exposure to low concentrations of BPA occurs in freshwater and marine systems, primarily from wastewater treatment plant discharges. The dataset for chronic toxicity of BPA to freshwater organisms includes studies on fish, amphibians, invertebrates, algae and aquatic plants. To broaden the dataset, a 1.5-generation test with sheepshead minnow (Cyprinodon variegatus) and a full life-cycle test with mysid shrimp (Americamysis bahia) were conducted. Testing focused on apical endpoints of survival, growth and development, and reproduction. The NOEC and LOEC values of 170 and 370 µg/L for mysid and 66 and 130 µg/L for sheepshead were based on reduced fecundity. HC5 values of 18 µg/L were calculated from species sensitivity distributions (SSDs) with freshwater-only data and combined freshwater and marine data. Inclusion of marine data resulted in no apparent difference in SSD shape, R(2) values for the distributions, or HC5 values. Upper-bound 95(th) percentile concentrations of BPA measured in marine waters of North America and Europe (0.024 and 0.15 µg/L, respectively) are below the HC5 value of 18 µg/L. These results suggest that marine and freshwater species are of generally similar sensitivity and that chronic studies using a diverse set of species can be combined to assess the aquatic toxicity of BPA. This article is protected by copyright. All rights reserved."
24,8,2017,"Geum-A Lee, Kyung-A Hwang, Kyung-Chul Choi","Inhibitory effects of 3,3'-diindolylmethane on epithelial-mesenchymal transition induced by endocrine disrupting chemicals in cellular and xenograft mouse models of breast cancer.",Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,"As a phytoestrogen, 3,3'-diindolylmethane (DIM) plays a chemopreventive role by inhibiting cancer progression. In this study, we examined the effects of 17β-estradiol (E2), two endocrine disrupting chemicals (EDCs), triclosan (TCS), and bisphenol A (BPA) and DIM on epithelial-mesenchymal transition (EMT) and metastatic behaviors of estrogen receptor (ER)-positive MCF-7 breast cancer cells. An in vitro assay revealed that E2 (10(-9) M), TCS (10(-5)-10(-7) M), and BPA (10(-5)-10(-7) M) induced MCF-7 cell proliferation compared to a control through the ER pathway. In addition, E2, TCS, and BPA changed the cell morphology from the epithelial to the mesenchymal phenotype, and increased the migration and invasion capacity of MCF-7 cells via ER; however, co-treatment with DIM (20 μM) effectively suppressed E2, TCS, and BPA-induced cell proliferation, EMT, migration, and invasion of MCF-7 cells. Western blot assay revealed that DIM regulated the protein expression of EMT- and metastasis-related genes toward the inhibition of these processes. Moreover, E2, TCS, and BPA increased the protein expression of CXCR4, which is a receptor of chemokine CXCL12 that is positively involved in breast cancer metastasis, via an ER-dependent pathway. Conversely, DIM and a CXCR4 antagonist (AMD3100) decreased CXCR4 protein expression, which led to inhibition of the EMT process, indicating that DIM may suppress E2, TCS or BPA-induced EMT, migration, and invasion of MCF-7 breast cancer cells by suppressing CXCR4 protein expression. These in vitro effects of E2, TCS, BPA, and DIM were also identified in a xenografted mouse model transplanted with MCF-7 breast cancer cells. Taken together, DIM is a potent chemopreventive compound for preventing metastatic behaviors of breast cancer cells induced by EDCs with cancer-related toxicity."
24,8,2017,"E L Patkin, N A Grudinina, L K Sasina, E M Noniashvili, L I Pavlinova, I O Suchkova, M E Kustova, N N Kolmakov, Tran Van Truong, G A Sofronov",Asymmetric DNA methylation between sister chromatids of metaphase chromosomes in mouse embryos upon bisphenol A action.,"Reproductive toxicology (Elmsford, N.Y.)","Earlier we showed that asymmetric methylation of sister chromatids (AMSC) was a specific characteristic of differentiation potency, and supposed that AMSC could be a useful marker of environmental impact connected with differentiation and/or dedifferentiation. Here we investigated the level of AMSC in chromosomes and the nuclei methylation in mouse preimplantation and postimplantation embryos, in comparison with the undifferentiated cells of mouse embryonal carcinoma cell line F9, and human differentiated HEK293 cells upon BPA influence. We found that exposure of mouse preimplantation embryos to BPA caused a significant decrease in the level of AMSC in chromosomes and the nuclei methylation. The BPA exposure of potentially differentiating F9 cells had no any influence on DNA methylation in nuclei but significantly decreased the number of AMSC. The level of DNA methylation and AMSC in HEK293 cells were not also changed. These data indicate that BPA exerts significant influence on differentiating and potentially differentiable cells. The most sensitive BPA targets are preimplantation embryos and stem cells."
